time	V(vout)
4.822148974400157e-03	6.551329e-01
4.841680224400157e-03	6.551329e-01
4.861211474400156e-03	6.551329e-01
4.880742724400156e-03	6.551329e-01
4.900273974400155e-03	6.551329e-01
4.919805224400155e-03	6.551329e-01
4.939336474400154e-03	6.551329e-01
4.958867724400154e-03	6.551329e-01
4.978398974400154e-03	6.551329e-01
4.997930224400153e-03	6.551329e-01
5.017461474400153e-03	6.551329e-01
5.036992724400152e-03	6.551329e-01
5.056523974400152e-03	6.551329e-01
5.076055224400152e-03	6.551329e-01
5.095586474400151e-03	6.551329e-01
5.115117724400151e-03	6.551329e-01
5.134648974400150e-03	6.551329e-01
5.154180224400150e-03	6.551329e-01
5.173711474400149e-03	6.551329e-01
5.193242724400149e-03	6.551329e-01
5.212773974400149e-03	6.551329e-01
5.232305224400148e-03	6.551329e-01
5.251836474400148e-03	6.551329e-01
5.271367724400147e-03	6.551329e-01
5.290898974400147e-03	6.551329e-01
5.310430224400147e-03	6.551329e-01
5.329961474400146e-03	6.551329e-01
5.349492724400146e-03	6.551329e-01
5.369023974400145e-03	6.551329e-01
5.388555224400145e-03	6.551329e-01
5.408086474400144e-03	6.551329e-01
5.427617724400144e-03	6.551329e-01
5.447148974400144e-03	6.551329e-01
5.466680224400143e-03	6.551329e-01
5.486211474400143e-03	6.551329e-01
5.505742724400142e-03	6.551329e-01
5.525273974400142e-03	6.551329e-01
5.544805224400142e-03	6.551329e-01
5.564336474400141e-03	6.551329e-01
5.583867724400141e-03	6.551329e-01
5.603398974400140e-03	6.551329e-01
5.622930224400140e-03	6.551329e-01
5.642461474400139e-03	6.551329e-01
5.661992724400139e-03	6.551329e-01
5.681523974400139e-03	6.551329e-01
5.701055224400138e-03	6.551329e-01
5.720586474400138e-03	6.551329e-01
5.740117724400137e-03	6.551329e-01
5.759648974400137e-03	6.551329e-01
5.779180224400137e-03	6.551329e-01
5.798711474400136e-03	6.551329e-01
5.818242724400136e-03	6.551329e-01
5.837773974400135e-03	6.551329e-01
5.857305224400135e-03	6.551329e-01
5.876836474400134e-03	6.551329e-01
5.896367724400134e-03	6.551329e-01
5.915898974400134e-03	6.551329e-01
5.935430224400133e-03	6.551329e-01
5.954961474400133e-03	6.551329e-01
5.974492724400132e-03	6.551329e-01
5.994023974400132e-03	6.551329e-01
6.013555224400132e-03	6.551329e-01
6.033086474400131e-03	6.551329e-01
6.052617724400131e-03	6.551329e-01
6.072148974400130e-03	6.551329e-01
6.091680224400130e-03	6.551329e-01
6.111211474400129e-03	6.551329e-01
6.130742724400129e-03	6.551329e-01
6.150273974400129e-03	6.551329e-01
6.169805224400128e-03	6.551329e-01
6.189336474400128e-03	6.551329e-01
6.208867724400127e-03	6.551329e-01
6.228398974400127e-03	6.551329e-01
6.247930224400127e-03	6.551329e-01
6.267461474400126e-03	6.551329e-01
6.286992724400126e-03	6.551329e-01
6.306523974400125e-03	6.551329e-01
6.326055224400125e-03	6.551329e-01
6.345586474400125e-03	6.551329e-01
6.365117724400124e-03	6.551329e-01
6.384648974400124e-03	6.551329e-01
6.404180224400123e-03	6.551329e-01
6.423711474400123e-03	6.551329e-01
6.443242724400122e-03	6.551329e-01
6.462773974400122e-03	6.551329e-01
6.482305224400122e-03	6.551329e-01
6.501836474400121e-03	6.551329e-01
6.521367724400121e-03	6.551329e-01
6.540898974400120e-03	6.551329e-01
6.560430224400120e-03	6.551329e-01
6.579961474400120e-03	6.551329e-01
6.599492724400119e-03	6.551329e-01
6.619023974400119e-03	6.551329e-01
6.638555224400118e-03	6.551329e-01
6.658086474400118e-03	6.551329e-01
6.677617724400117e-03	6.551329e-01
6.697148974400117e-03	6.551329e-01
6.716680224400117e-03	6.551329e-01
6.736211474400116e-03	6.551329e-01
6.755742724400116e-03	6.551329e-01
6.775273974400115e-03	6.551329e-01
6.794805224400115e-03	6.551329e-01
6.814336474400115e-03	6.551329e-01
6.833867724400114e-03	6.551329e-01
6.853398974400114e-03	6.551329e-01
6.872930224400113e-03	6.551329e-01
6.892461474400113e-03	6.551329e-01
6.911992724400112e-03	6.551329e-01
6.931523974400112e-03	6.551329e-01
6.951055224400112e-03	6.551329e-01
6.970586474400111e-03	6.551329e-01
6.990117724400111e-03	6.551329e-01
7.009648974400110e-03	6.551329e-01
7.029180224400110e-03	6.551329e-01
7.048711474400110e-03	6.551329e-01
7.068242724400109e-03	6.551329e-01
7.087773974400109e-03	6.551329e-01
7.107305224400108e-03	6.551329e-01
7.126836474400108e-03	6.551329e-01
7.146367724400107e-03	6.551329e-01
7.165898974400107e-03	6.551329e-01
7.185430224400107e-03	6.551329e-01
7.204961474400106e-03	6.551329e-01
7.224492724400106e-03	6.551329e-01
7.244023974400105e-03	6.551329e-01
7.263555224400105e-03	6.551329e-01
7.283086474400105e-03	6.551329e-01
7.302617724400104e-03	6.551329e-01
7.322148974400104e-03	6.551329e-01
7.341680224400103e-03	6.551329e-01
7.361211474400103e-03	6.551329e-01
7.380742724400102e-03	6.551329e-01
7.400273974400102e-03	6.551329e-01
7.419805224400102e-03	6.551329e-01
7.439336474400101e-03	6.551329e-01
7.458867724400101e-03	6.551329e-01
7.478398974400100e-03	6.551329e-01
7.497930224400100e-03	6.551329e-01
7.517461474400100e-03	6.551329e-01
7.536992724400099e-03	6.551329e-01
7.556523974400099e-03	6.551329e-01
7.576055224400098e-03	6.551329e-01
7.595586474400098e-03	6.551329e-01
